doy_1based,hBD_m
120,38.687
121,38.258
122,37.813
123,37.256
124,36.169
125,34.826
126,33.402
127,31.676
128,29.517
129,27.362
130,26.848
131,28.453
132,30.594
133,32.856
134,34.8
135,35.916
136,37.021
137,36.948
138,36.645
139,36.723
140,35.996
141,34.367
142,32.936
143,32.525
144,33.121
145,33.534
146,33.221
147,33.209
148,34.271
149,35.444
150,36.262
151,35.985
152,35.358
153,35.172
154,34.918
155,34.606
156,34.946
157,35.641
158,35.644
159,33.887
160,31.445
161,30.175
162,30.888
163,32.698
164,33.856
165,33.578
166,31.962
167,29.836
168,28.264
169,27.518
170,26.874
171,25.636
172,24.26
173,23.658
174,23.305
175,23.099
176,23.349
177,24.187
178,25.728
179,26.212
180,25.015
181,22.873
182,20.675
183,19.382
184,19.253
185,20.096
186,21.302
187,21.974
188,21.524
189,20.007
190,18.208
191,16.709
192,15.651
193,14.826
194,14.063
195,13.663
196,13.94
197,14.321
198,13.975
199,12.717
200,11.148
201,10.849
202,10.723
203,10.773
204,11.001
