Cruise,Station,Date,Depth,Latitude,Longitude,Temperature,Salinity,Nitrate,Silicate,Phosphate
SubIce,901,5/17/14,49.442,67.67,-168.95,-1.2027,32.2921,14.43,40.1,1.76
SubIce,901,5/17/14,25.33,67.67,-168.95,-1.1464,32.2672,13.94,38.9,1.62
SubIce,901,5/17/14,10.42,67.67,-168.95,-1.1154,32.2458,13.89,38.7,1.61
SubIce,901,5/17/14,5.264,67.67,-168.95,-1.1137,32.2454,13.97,38.9,1.59
SubIce,901,5/17/14,2.016,67.67,-168.95,-1.1142,32.245,14.3,39,1.61
SubIce,1001,5/18/14,35.215,70.69,-168.93,-1.6873,32.3765,13.95,50.8,1.91
SubIce,1001,5/18/14,25.911,70.69,-168.93,-1.6844,32.3754,13.9,51.5,1.9
SubIce,1001,5/18/14,10.59,70.69,-168.93,-1.6861,32.3735,13.95,51.1,1.89
SubIce,1001,5/18/14,5.335,70.69,-168.93,-1.6754,32.3749,13.92,51.7,1.89
SubIce,1001,5/18/14,2.58,70.69,-168.93,-1.6779,32.375,13.87,51.9,1.89
SubIce,1101,5/18/14,36.229,70.7,-168.58,-1.7283,32.3949,14.66,53.2,1.97
SubIce,1101,5/18/14,25.571,70.7,-168.58,-1.7156,32.331,13.66,52.7,1.93
SubIce,1101,5/18/14,10.47,70.7,-168.58,-1.6931,32.3257,13.59,52.5,1.9
SubIce,1101,5/18/14,5.559,70.7,-168.58,-1.6821,32.3259,13.61,52.5,1.91
SubIce,1101,5/18/14,3.072,70.7,-168.58,-1.6852,32.326,13.53,52.9,1.9
SubIce,1201,5/18/14,43.979,70.7,-168.22,-1.7515,32.626,14.19,53.3,2.13
SubIce,1201,5/18/14,25.686,70.7,-168.22,-1.7347,32.2704,13.09,50.9,1.93
SubIce,1201,5/18/14,10.353,70.7,-168.22,-1.7061,32.2637,12.66,50.6,1.87
SubIce,1201,5/18/14,5.657,70.7,-168.22,-1.6984,32.264,12.78,51.3,1.86
SubIce,1201,5/18/14,2.742,70.7,-168.22,-1.7019,32.2646,12.58,51.1,1.86
SubIce,1301,5/18/14,46.946,70.71,-167.89,-1.7754,32.9982,15.81,53.5,2.13
SubIce,1301,5/18/14,25.807,70.71,-167.89,-1.7322,32.3332,13.12,49.5,1.86
SubIce,1301,5/18/14,10.437,70.71,-167.89,-1.7004,32.3144,12.98,49.1,1.84
SubIce,1301,5/18/14,5.593,70.71,-167.89,-1.683,32.3132,12.95,49.5,1.85
SubIce,1301,5/18/14,2.897,70.71,-167.89,-1.6835,32.3138,12.96,49.9,1.83
SubIce,1401,5/18/14,51.383,70.7,-167.58,-1.7666,33.0027,16.82,54.3,2.18
SubIce,1401,5/18/14,25.912,70.7,-167.58,-1.7375,32.5412,14.81,50.7,1.98
SubIce,1401,5/18/14,10.486,70.7,-167.58,-1.7418,32.5372,13.74,50.2,1.89
SubIce,1401,5/18/14,5.602,70.7,-167.58,-1.7342,32.5362,13.75,49.5,1.88
